Description,Price (Eur),Number of Rooms,Number of Beds,Area in (sqm),Website,Qualities,Types,Names-Places
Gorgeous flat (Wilmersdorf),"€1,050",1,1,33 m²,https://wunderflats.com/en/furnished-apartment/gorgeous-flat-wilmersdorf/58af1e9f59e9381a7b792655?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,"['Gorgeous', 'flat']",[],['Wilmersdorf']
"Fantastic 3,5 Room Apartment in Berlin Mitte / Kreuzberg","€2,490",3,2,115 m²,https://wunderflats.com/en/furnished-apartment/fantastic-35-room-apartment-in-berlin-mitte-kreuzberg/587541d2b11caaa9d4c8bea4?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,['Fantastic'],[],"['Room', 'Apartment', 'Berlin', 'Mitte', '/', 'Kreuzberg']"
Neat and pretty apartment in Köpenick,"€1,595",2,1,36 m²,https://wunderflats.com/en/furnished-apartment/g/neat-and-pretty-apartment-in-koepenick/HyKpoBLve?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,[],['apartment'],"['Neat', 'Köpenick']"
Superior Studios-Apartments in a quiet central location near Kurfürstendamm (# 525 Category M),"€2,280",2,2,59 m²,https://wunderflats.com/en/furnished-apartment/superior-studios-apartments-in-a-quiet-central-location-near-kurfuerstendamm-525-category-m/5d94b89cbbd0d9000c08624b?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,"['Superior', 'quiet', 'central']",['location'],"['Kurfürstendamm', 'Category', 'M']"
"Gorgeous, amazing suite in beautiful Eiswerder in Berlin","€1,590",2,1,47 m²,https://wunderflats.com/en/furnished-apartment/gorgeous-amazing-suite-in-beautiful-eiswerder-in-berlin/5f43e24cbba3ea000663d041?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,['beautiful'],['suite'],"['Gorgeous', 'Eiswerder', 'Berlin']"
Gorgeous & amazing home in Prenzlauer Berg,"€1,322",1,1,40 m²,https://wunderflats.com/en/furnished-apartment/gorgeous-and-amazing-home-in-prenzlauer-berg/5a9427d38f0228eee0a320fd?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,['amazing'],['home'],"['Gorgeous', 'Prenzlauer', 'Berg']"
Cozy flat in Charlottenburg at the Savignyplatz,"€1,490",2,1,62 m²,https://wunderflats.com/en/furnished-apartment/cozy-flat-in-charlottenburg-at-the-savignyplatz/5c97d1687b06740007fb02a5?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,['flat'],[],"['Cozy', 'Charlottenburg', 'Savignyplatz']"
"Modern loft in Zehlendorf, Berlin","€1,200",2,1,67 m²,https://wunderflats.com/en/furnished-apartment/modern-loft-in-zehlendorf-berlin/5948f4ef394f64185b9e8ece?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,['Modern'],['loft'],"['Zehlendorf', 'Berlin']"
"Fashionable apartment in Gesundbrunnen, Berlin","€1,090",1,1,22 m²,https://wunderflats.com/en/furnished-apartment/g/fashionable-apartment-in-gesundbrunnen-berlin/HJFZ_cjpTImx?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,['Fashionable'],['apartment'],"['Gesundbrunnen', 'Berlin']"
Amazing & cute home in quiet location,"€1,390",2,1,64 m²,https://wunderflats.com/en/furnished-apartment/amazing-and-cute-home-in-quiet-location/556440a5ac29060ac518ae06?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,['quiet'],"['cute', 'home', 'location']",['Amazing']
Beautiful apartment with balcony and fireplace in Berlin-Mitte,"€2,850",3,2,120 m²,https://wunderflats.com/en/furnished-apartment/beautiful-apartment-with-balcony-and-fireplace-in-berlin-mitte/60cf2a4b940ccb000968ea91?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,['Beautiful'],"['apartment', 'balcony', 'fireplace']",['Berlin-Mitte']
Quiet studio in traditional building in friendly neighborhood,"€1,590",1,2,39 m²,https://wunderflats.com/en/furnished-apartment/quiet-studio-in-traditional-building-in-friendly-neighborhood/58342737a5f9b4c3c76ab521?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,"['Quiet', 'traditional', 'friendly']","['studio', 'building', 'neighborhood']",[]
Light-flooded old building flat in the neighbourhood,"€1,352",2,1,71 m²,https://wunderflats.com/en/furnished-apartment/light-flooded-old-building-flat-in-the-neighbourhood/601cffd742d95e0006f4cacd?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,"['Light-flooded', 'old']","['building', 'flat', 'neighbourhood']",[]
cosy & clean apartment near university,"€1,500",2,1,60 m²,https://wunderflats.com/en/furnished-apartment/cosy-and-clean-apartment-near-university/5d4f4b35b62c7300076104a6?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,['clean'],"['cosy', 'apartment', 'university']",[]
"Pretty, perfect studio in Karlshorst from 3 months","€1,085",1,1,25 m²,https://wunderflats.com/en/furnished-apartment/pretty-perfect-studio-in-karlshorst-from-3-months/5e675a951d0dc9000643c1d0?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,['perfect'],['studio'],['Karlshorst']
"Wonderful, charming loft in Schöneberg, Berlin","€1,799",2,1,60 m²,https://wunderflats.com/en/furnished-apartment/g/wonderful-charming-loft-in-schoeneberg-berlin/ryEDbfED7?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,[],['loft'],"['Wonderful', 'Schöneberg', 'Berlin']"
Fashionable and modern apartment,"€1,400",2,1,57 m²,https://wunderflats.com/en/furnished-apartment/fashionable-and-modern-apartment/56bc87e41f7cabbf9dd4a8a2?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,"['Fashionable', 'modern']",['apartment'],[]
Beautiful and awesome suite in nice area,"€1,190",1,1,27 m²,https://wunderflats.com/en/furnished-apartment/g/beautiful-and-awesome-suite-in-nice-area/S1I7N9j6p8Qe?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,"['awesome', 'nice']","['suite', 'area']",['Beautiful']
Fashionable & beautiful studio apartment in Charlottenburg,"€1,290",2,1,40 m²,https://wunderflats.com/en/furnished-apartment/fashionable-and-beautiful-studio-apartment-in-charlottenburg/5f7d757cfa27140006d09da9?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,['beautiful'],"['studio', 'apartment']","['Fashionable', 'Charlottenburg']"
Quiet home in Wilmersdorf,"€1,360",2,1,50 m²,https://wunderflats.com/en/furnished-apartment/quiet-home-in-wilmersdorf/60b4ed7005255c00089713c7?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,['Quiet'],['home'],['Wilmersdorf']
Modern apartment directly at the lake,"€1,250",1,1,56 m²,https://wunderflats.com/en/furnished-apartment/modern-apartment-directly-at-the-lake/60af602473e3c4000739f883?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,['Modern'],"['apartment', 'lake']",[]
"Charming, quiet two and a half room apartment in the Westend with a view","€1,790",2,2,72 m²,https://wunderflats.com/en/furnished-apartment/charming-quiet-two-and-a-half-room-apartment-in-the-westend-with-a-view/60c1d121d0080700078f01e6?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,"['quiet', 'half']","['room', 'apartment', 'view']","['Charming', 'Westend']"
Wonderful & new studio located in Mitte,"€1,490",1,1,31 m²,https://wunderflats.com/en/furnished-apartment/wonderful-and-new-studio-located-in-mitte/5c13b8f84482010005569240?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,['new'],['studio'],"['Wonderful', 'Mitte']"
Lovely and pretty suite with balcony and full kitchen in Mitte (Berlin),"€1,650",2,1,58 m²,https://wunderflats.com/en/furnished-apartment/lovely-and-pretty-suite-with-balcony-and-full-kitchen-in-mitte-berlin/603bc499c8c23900070cfbfd?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,"['suite', 'full']","['balcony', 'kitchen']","['Mitte', 'Berlin']"
Spacious studio in Schöneberg,"€1,590",1,1,40 m²,https://wunderflats.com/en/furnished-apartment/spacious-studio-in-schoeneberg/60118f15dd956b0008b07bbf?dataLayerKey=SmVuMA-NdMhnqTqvQkZmA,['Spacious'],['studio'],['Schöneberg']
Stylish home with balcony in Moabit (Berlin),"€1,350",2,1,76 m²,https://wunderflats.com/en/furnished-apartment/stylish-home-with-balcony-in-moabit-berlin/5ddbf6d763d1470007fe823f?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['Stylish'],"['home', 'balcony']","['Moabit', 'Berlin']"
Modern Studio in Berlin Friedrichshain,"€1,450",1,1,22 m²,https://wunderflats.com/en/furnished-apartment/g/modern-studio-in-berlin-friedrichshain/sm4FfHLXk?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['Modern'],[],"['Studio', 'Berlin', 'Friedrichshain']"
"Perfect, fantastic apartment conveniently located, Berlin","€1,099",1,1,45 m²,https://wunderflats.com/en/furnished-apartment/perfect-fantastic-apartment-conveniently-located-berlin/578cef206733da5562b798aa?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['fantastic'],['apartment'],"['Perfect', 'Berlin']"
Neat & quiet apartment in Charlottenburg,"€1,350",1,1,39.4 m²,https://wunderflats.com/en/furnished-apartment/g/neat-and-quiet-apartment-in-charlottenburg/uMz4avKlnq?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['quiet'],['apartment'],"['Neat', 'Charlottenburg']"
"Quiet , cute home in Mitte (Downtown)","€1,498",1,1,25 m²,https://wunderflats.com/en/furnished-apartment/quiet-cute-home-in-mitte-downtown/5ebd0b8ab9a7cb000617446d?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,"['Quiet', 'cute']",['home'],"['Mitte', 'Downtown']"
"Newly renovated fantastic and fashionable flat in Berlin, Prenzlauer Berg","€1,450",2,1,55 m²,https://wunderflats.com/en/furnished-apartment/newly-renovated-fantastic-and-fashionable-flat-in-berlin-prenzlauer-berg/5df14e3601802f0006c8392c?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,"['fantastic', 'fashionable', 'flat']",[],"['Berlin', 'Prenzlauer', 'Berg']"
"Great, amazing suite close to city center","€1,190",1,1,26 m²,https://wunderflats.com/en/furnished-apartment/g/great-amazing-suite-close-to-city-center/H14XN5j6a8Qg?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['close'],"['suite', 'city', 'center']",['Great']
"Perfect, cute flat in Prenzlauer Berg, Berlin","€1,490",1,1,37 m²,https://wunderflats.com/en/furnished-apartment/perfect-cute-flat-in-prenzlauer-berg-berlin/5c13b594bedb330005408148?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['flat'],['cute'],"['Perfect', 'Prenzlauer', 'Berg', 'Berlin']"
First use! Amazing 2 rooms apartment,"€1,390",2,2,38 m²,https://wunderflats.com/en/furnished-apartment/first-use-amazing-2-rooms-apartment/5f57800fc68cd3000607b643?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,[],"['use', 'apartment']",[]
Modern and bright home close to city center,"€1,690",1,1,30 m²,https://wunderflats.com/en/furnished-apartment/g/modern-and-bright-home-close-to-city-center/H19v4qsppLXl?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,[],"['city', 'center']",['Modern']
"Beautiful suite in Charlottenburg, Berlin","€1,350",1,1,35 m²,https://wunderflats.com/en/furnished-apartment/g/beautiful-suite-in-charlottenburg-berlin/Fouu_yLicF?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,[],['suite'],"['Beautiful', 'Charlottenburg', 'Berlin']"
Cozy Rooftop apartment in great location,"€1,390",1,1,54 m²,https://wunderflats.com/en/furnished-apartment/cozy-rooftop-apartment-in-great-location/5a4b67b71a9320a5c0b6ec33?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['great'],"['apartment', 'location']","['Cozy', 'Rooftop']"
Pretty 1-bedroom apartment in Brunnenstr/Mitte (close to Alexanderplatz),"€1,780",2,1,58 m²,https://wunderflats.com/en/furnished-apartment/pretty-1-bedroom-apartment-in-brunnenstrmitte-close-to-alexanderplatz/59cad07bcc2cf65f1ea40816?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,"['1-bedroom', 'close']",['apartment'],"['Brunnenstr/Mitte', 'Alexanderplatz']"
Charming & beautiful flat in Kreuzberg,"€1,400",1,1,35 m²,https://wunderflats.com/en/furnished-apartment/charming-and-beautiful-flat-in-kreuzberg/58bd364f6ad6c13f519257c7?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['beautiful'],['flat'],"['Charming', 'Kreuzberg']"
Designer Apartment in Mitte with Concierge,"€1,800",2,1,40 m²,https://wunderflats.com/en/furnished-apartment/designer-apartment-in-mitte-with-concierge/591c5e33d7ec97a14e75b32f?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,[],[],"['Designer', 'Apartment', 'Mitte', 'Concierge']"
"Charming, nice flat in quiet street, close to S-Bahn Station, Berlin","€1,200",2,2,54 m²,https://wunderflats.com/en/furnished-apartment/charming-nice-flat-in-quiet-street-close-to-s-bahn-station-berlin/580b2fec03b585a49d27acc0?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,"['nice', 'quiet']","['flat', 'street']","['Charming', 'S-Bahn', 'Station', 'Berlin']"
Awesome & neat home in Karow,€980,1,1,32 m²,https://wunderflats.com/en/furnished-apartment/awesome-and-neat-home-in-karow/5e1374149c63250006b1ecb1?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['neat'],['home'],"['Awesome', 'Karow']"
Fantastic & pretty loft in Neukölln,"€1,300",1,1,45 m²,https://wunderflats.com/en/furnished-apartment/fantastic-and-pretty-loft-in-neukoelln/5c876b121fc09d000721cf54?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['loft'],[],"['Fantastic', 'Neukölln']"
"Neat, new studio in Mitte","€1,100",1,1,28 m²,https://wunderflats.com/en/furnished-apartment/neat-new-studio-in-mitte/5c0a3c47803c4f0005afde15?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['new'],['studio'],"['Neat', 'Mitte']"
Fully-furnished design apartment in Helmholtzkiez (first occupancy),"€1,390",1,2,44.8 m²,https://wunderflats.com/en/furnished-apartment/fully-furnished-design-apartment-in-helmholtzkiez-first-occupancy/60b0e3d0b4c2b5000714e3b0?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,"['Fully-furnished', 'first']","['design', 'apartment', 'occupancy']",['Helmholtzkiez']
Cute flat in Schöneberg,"€1,300",1,1,31 m²,https://wunderflats.com/en/furnished-apartment/g/cute-flat-in-schoeneberg/qNTB0zQpdW?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['flat'],[],"['Cute', 'Schöneberg']"
Newly modernised apartment in historical building in Berlin Weissensee,"€1,640",3,1,76 m²,https://wunderflats.com/en/furnished-apartment/newly-modernised-apartment-in-historical-building-in-berlin-weissensee/5c9b46f9a483a20008afa629?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['historical'],"['apartment', 'building']","['Berlin', 'Weissensee']"
Fashionable suite in Schöneberg,"€1,330",1,1,36.24 m²,https://wunderflats.com/en/furnished-apartment/fashionable-suite-in-schoeneberg/5e95a8287de1340007bb866f?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['Fashionable'],['suite'],['Schöneberg']
Living in young Friedrichshain,"€1,500",2,3,55 m²,https://wunderflats.com/en/furnished-apartment/living-in-young-friedrichshain/5a5f815e15f81a4cafbd5104?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['young'],['Friedrichshain'],[]
3 large rooms in classical Berlin building with lift close to Kollwitzplatz and ALEX,"€2,850",4,6,102 m²,https://wunderflats.com/en/furnished-apartment/g/3-large-rooms-in-classical-berlin-building-with-lift-close-to-kollwitzplatz-and-alex/HkNt99i6aI7g?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,"['large', 'classical']","['building', 'lift']","['Berlin', 'Kollwitzplatz', 'ALEX']"
"Charming, neat studio in Steglitz, Berlin","€1,490",2,1,56 m²,https://wunderflats.com/en/furnished-apartment/charming-neat-studio-in-steglitz-berlin/607010ad55c74a000766bfa1?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['neat'],['studio'],"['Charming', 'Steglitz', 'Berlin']"
Modern & bright large apartment 3 rooms,"€2,200",3,2,108 m²,https://wunderflats.com/en/furnished-apartment/modern-and-bright-large-apartment-3-rooms/5f43d2f81582250006b8d281?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,"['bright', 'large']",['apartment'],['Modern']
small cozy & pretty flat,€800,1,1,20 m²,https://wunderflats.com/en/furnished-apartment/g/small-cozy-and-pretty-flat/YNTlJozj_g?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,"['small', 'flat']",['cozy'],[]
Charming and perfect flat located in Mitte,"€1,490",1,1,40 m²,https://wunderflats.com/en/furnished-apartment/g/charming-and-perfect-flat-located-in-mitte/w1z45jl2ge?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,"['perfect', 'flat']",[],['Mitte']
Beautiful smart Home Studio in the heart of Friedrichshain,"€1,400",1,1,25 m²,https://wunderflats.com/en/furnished-apartment/beautiful-smart-home-studio-in-the-heart-of-friedrichshain/609a43d920e1c5000747617e?dataLayerKey=u4wRxxGewDAEzlsJnXmuW,['smart'],['heart'],"['Beautiful', 'Home', 'Studio', 'Friedrichshain']"
Cozy & quiet studio in Köpenick,€950,2,1,40 m²,https://wunderflats.com/en/furnished-apartment/cozy-and-quiet-studio-in-koepenick/60dc669d3e331500075503f6?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,['quiet'],['studio'],"['Cozy', 'Köpenick']"
Great studio (Wilmersdorf),"€4,309",3,1,90 m²,https://wunderflats.com/en/furnished-apartment/g/great-studio-wilmersdorf/a1H1bsTRJk?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,['Great'],['studio'],['Wilmersdorf']
Modern Boutique Apartment in Berlin Friedrichshain,"€1,650",1,1,30 m²,https://wunderflats.com/en/furnished-apartment/g/modern-boutique-apartment-in-berlin-friedrichshain/Ou8sGYNle?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,[],[],"['Modern', 'Boutique', 'Apartment', 'Berlin', 'Friedrichshain']"
Superior Studios-Apartments in a quiet central location near Kurfürstendamm (Category XL),"€2,500",3,2,66 m²,https://wunderflats.com/en/furnished-apartment/g/superior-studios-apartments-in-a-quiet-central-location-near-kurfuerstendamm-category-xl/bZ0rILpKtA?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,"['Superior', 'quiet', 'central']",['location'],"['Kurfürstendamm', 'Category', 'XL']"
Apartment in Berlin (S-Bahn station Berlin-Lichtenberg - 20 minutes to Alexanderplatz),€700,1,1,15 m²,https://wunderflats.com/en/furnished-apartment/g/apartment-in-berlin-s-bahn-station-berlin-lichtenberg-20-minutes-to-alexanderplatz/SJ6kM5oqX?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,['S-Bahn'],"['Apartment', 'station']","['Berlin', 'Berlin-Lichtenberg', 'Alexanderplatz']"
"new quit design apartment in Center with balkony, Concierge, underground parking, Bisycle.","€2,390",2,2,70 m²,https://wunderflats.com/en/furnished-apartment/new-quit-design-apartment-in-center-with-balkony-concierge-underground-parking-bisycle/59b11f535c39feee0ca640b8?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,"['new', 'underground']","['quit', 'design', 'apartment', 'balkony', 'parking']","['Center', 'Concierge', 'Bisycle']"
Great and charming home in Kreuzberg,"€1,300",1,1,38 m²,https://wunderflats.com/en/furnished-apartment/great-and-charming-home-in-kreuzberg/5f92db117025a200068216c1?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,[],['home'],"['Great', 'Kreuzberg']"
First-time occupancy - High-quality refurbished apartment in Berlin-Steglitz,"€1,490",2,1,61 m²,https://wunderflats.com/en/furnished-apartment/first-time-occupancy-high-quality-refurbished-apartment-in-berlin-steglitz/60ae0473429f7300070466df?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,"['First-time', 'refurbished']","['occupancy', 'High-quality', 'apartment']",['Berlin-Steglitz']
Beautiful single room apartment in lovely Schöneberg 15-1bed Etage 3,"€1,250",1,1,35 m²,https://wunderflats.com/en/furnished-apartment/beautiful-single-room-apartment-in-lovely-schoeneberg-15-1bed-etage-3/5e660e13e088840006189dcf?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,"['Beautiful', 'single', 'lovely', '15-1bed']","['room', 'apartment', 'Etage']",['Schöneberg']
Modern & beautiful apartment,"€1,200",1,1,28 m²,https://wunderflats.com/en/furnished-apartment/modern-and-beautiful-apartment/5c52d63af0c7fd00053498fb?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,['beautiful'],['apartment'],['Modern']
"Completely renovated apartment in Berlin-Mitte, first rent with brand new furniture","€1,200",1,1,42 m²,https://wunderflats.com/en/furnished-apartment/completely-renovated-apartment-in-berlin-mitte-first-rent-with-brand-new-furniture/604a9dc437a93a0007b175e6?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,"['first', 'new']","['apartment', 'rent', 'brand', 'furniture']",['Berlin-Mitte']
Wonderful suite (Wilmersdorf),"€2,680",2,1,50 m²,https://wunderflats.com/en/furnished-apartment/g/wonderful-suite-wilmersdorf/4Z_qNa7-er?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,['Wonderful'],['suite'],['Wilmersdorf']
Gorgeous and bright home in Moabit,"€2,150",4,3,115 m²,https://wunderflats.com/en/furnished-apartment/gorgeous-and-bright-home-in-moabit/60c204c6e4f55f00073be86e?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,"['Gorgeous', 'bright']",['home'],['Moabit']
Fantastic loft (Schöneberg),€990,1,1,39 m²,https://wunderflats.com/en/furnished-apartment/fantastic-loft-schoeneberg/5fce4107b763010007025a72?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,['Fantastic'],['loft'],['Schöneberg']
Compact 1-bedroom apartment near central station Berlin,"€1,300",2,1,38 m²,https://wunderflats.com/en/furnished-apartment/compact-1-bedroom-apartment-near-central-station-berlin/5fd23d03aaaf400006cbf9e5?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,"['Compact', '1-bedroom', 'central']","['apartment', 'station']",['Berlin']
Sunny charming apartment in Florakiez in Pankow,"€1,300",2,2,50 m²,https://wunderflats.com/en/furnished-apartment/sunny-charming-apartment-in-florakiez-in-pankow/5caf4d61810fad000791eb4c?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,[],['apartment'],"['Sunny', 'Florakiez', 'Pankow']"
Chic & fantastic apartment in perfect location in Berlin (Mitte),"€1,190",2,1,63 m²,https://wunderflats.com/en/furnished-apartment/g/chic-and-fantastic-apartment-in-perfect-location-in-berlin-mitte/4rtLzYfQri?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,"['fantastic', 'perfect']","['apartment', 'location']","['Chic', 'Berlin', 'Mitte']"
Quiet 1-bedroom apartment close to the Main Train Station,"€1,650",1,1,54 m²,https://wunderflats.com/en/furnished-apartment/quiet-1-bedroom-apartment-close-to-the-main-train-station/60c88cb1cd1599000743b453?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,"['Quiet', '1-bedroom']",['apartment'],"['Main', 'Train', 'Station']"
"Quiet, luminous 4,5 room apartment in the heart of Schöneberg","€2,490",5,4,95 m²,https://wunderflats.com/en/furnished-apartment/quiet-luminous-45-room-apartment-in-the-heart-of-schoeneberg/60be0ae685d8010007b7ac6a?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,"['Quiet', 'luminous']","['room', 'apartment', 'heart']",['Schöneberg']
"Lovingly furnished, new apartment with good transport connections, Berlin",€990,2,1,50 m²,https://wunderflats.com/en/furnished-apartment/g/lovingly-furnished-new-apartment-with-good-transport-connections-berlin/fFmgIQAo1x?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,"['new', 'good']","['apartment', 'transport']",['Berlin']
Modern ground floor apartment with private terrace,"€2,625",2,1,90 m²,https://wunderflats.com/en/furnished-apartment/modern-ground-floor-apartment-with-private-terrace/5d0a4487c285cc0009c35623?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,['private'],"['ground', 'floor', 'apartment', 'terrace']",['Modern']
Lovingly and comfortably furnished apartment in Lichterfelde with balcony,"€1,090",1,1,36 m²,https://wunderflats.com/en/furnished-apartment/lovingly-and-comfortably-furnished-apartment-in-lichterfelde-with-balcony/5e3a7c12a97b5000065b5ce6?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,[],"['apartment', 'balcony']",['Lichterfelde']
Perfect & modern home in Prenzlauer Berg,"€4,750",3,6,100 m²,https://wunderflats.com/en/furnished-apartment/perfect-and-modern-home-in-prenzlauer-berg/60def2c8b7f6950007c5fabb?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,['modern'],['home'],"['Perfect', 'Prenzlauer', 'Berg']"
"Newly furnitured, nice and bright Apartment close to Grünau (S-)Train Station",€990,1,1,45 m²,https://wunderflats.com/en/furnished-apartment/newly-furnitured-nice-and-bright-apartment-close-to-gruenau-s-train-station/5ba3b33a7c932f2e00f77537?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,"['nice', 'bright']","['close', 'Station']","['Apartment', 'Grünau', 'S-']"
Sunny new studio at Weinbergspark (Mitte),"€1,400",1,1,35 m²,https://wunderflats.com/en/furnished-apartment/sunny-new-studio-at-weinbergspark-mitte/5d5c29b95b91cb0006cfb6db?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,['new'],['studio'],"['Sunny', 'Weinbergspark', 'Mitte']"
Great and cute flat in Charlottenburg (Berlin),"€4,400",3,5,130 m²,https://wunderflats.com/en/furnished-apartment/great-and-cute-flat-in-charlottenburg-berlin/5fff1a0f324bf300065d27f3?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,['cute'],['flat'],"['Great', 'Charlottenburg', 'Berlin']"
Fashionable apartment in Schöneberg,"€1,250",1,1,40 m²,https://wunderflats.com/en/furnished-apartment/fashionable-apartment-in-schoeneberg/57dd0ac46bef1e0f48b152c6?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,['Fashionable'],['apartment'],['Schöneberg']
"Cute, bright studio conveniently located","€1,490",1,1,30 m²,https://wunderflats.com/en/furnished-apartment/cute-bright-studio-conveniently-located/5c13ccb86dd37400069ce23d?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,['bright'],['studio'],['Cute']
High-end flat in the heart of Berlin,"€2,375",2,1,50 m²,https://wunderflats.com/en/furnished-apartment/high-end-flat-in-the-heart-of-berlin/5ef5d12767f90e00068cb38d?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,['High-end'],"['flat', 'heart']",['Berlin']
New and gorgeous loft with a great view of the Gleisdreieck Park,"€1,215",1,1,29 m²,https://wunderflats.com/en/furnished-apartment/g/new-and-gorgeous-loft-with-a-great-view-of-the-gleisdreieck-park/m5NTJNzvLX?dataLayerKey=sDhcWpaA5VY0JRuI3bhVv,"['gorgeous', 'great']","['loft', 'view']","['New', 'Gleisdreieck', 'Park']"
Calm & Luminoud City Flat in Kreuzberg,"€1,400",1,1,45 m²,https://wunderflats.com/en/furnished-apartment/calm-and-luminoud-city-flat-in-kreuzberg/589ae29789b1f94847b60a7c?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,[],[],"['Calm', 'Luminoud', 'City', 'Flat', 'Kreuzberg']"
"New, pretty studio in nice area, Berlin","€2,488",2,3,72 m²,https://wunderflats.com/en/furnished-apartment/new-pretty-studio-in-nice-area-berlin/5f23ef3fc7bfa60006cd72f3?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,"['pretty', 'nice']","['studio', 'area']","['New', 'Berlin']"
